Sample Name,Cpd,CAS,Name,Hits,Abund,Mining Algorithm,Area,Base Peak,Mass,Avg Mass,Score,m/z,m/z (prod.),RT,Start,End,Width,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),RT (Tgt),RT Diff (Tgt),Sample Type,Formula,Height,Ions,Polarity,Z Count,Max Z,Min Z,Label,File,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
Methanol Blank +ve,1,,PETN,1,5198,Find by Formula,110783,121.0509,316.0157,,62.63,334.0493,,2.866,2.659,3.222,0.296,1.84,5.83,62.63,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,7067,3,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 2.866,Methanol_Blank_+ve_191121-0001-r001.d,Instrument 1,P2-A3,Dominic Davis-Foster,Maitre Gunshot Residue Positive.m,QualMethod.m,Success
Methanol Blank +ve,2,,Diethyl Phthalate,1,10357,Find by Formula,201017,306.2551,222.0892,,86.77,245.0784,,14.500,14.375,14.806,0.165,0.01,0.06,86.77,,Pass,0,222.0892,,,Sample,C12 H14 O4,17280,5,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 14.500,Methanol_Blank_+ve_191121-0001-r001.d,Instrument 1,P2-A3,Dominic Davis-Foster,Maitre Gunshot Residue Positive.m,QualMethod.m,Success
Methanol Blank +ve 5ul,1,,PETN,1,1123,Find by Formula,7445,121.0509,316.0147,,62.13,334.0495,,7.931,7.906,8.064,1.717,0.79,2.51,62.13,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,2259,4,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 7.931,Methanol_Blank_+ve_5ul_191121-0007-r001.d,Instrument 1,P2-A3,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Methanol Blank +ve 5ul,2,,Diethyl Phthalate,1,23531,Find by Formula,621976,214.2532,222.0886,,99.01,245.0780,,14.381,14.224,14.729,0.367,-0.65,-2.91,99.01,,Pass,0,222.0892,,,Sample,C12 H14 O4,38137,6,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 14.381,Methanol_Blank_+ve_5ul_191121-0007-r001.d,Instrument 1,P2-A3,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Methanol Blank -ve,1,,2-Nitrodiphenylamine,2,655,Find by Formula,5271,955.9723,214.0758,,70.21,213.0686,,16.036,15.995,16.127,16.050,1.58,7.36,70.21,low score,Warning,2,214.0742,,,Sample,C12 H10 N2 O2,1211,3,Negative,1,1,1,Cpd 1: 2-Nitrodiphenylamine; C12 H10 N2 O2; 16.036,Methanol_Blank_-ve_191121-0004-r001.d,Instrument 1,P2-A3,Dominic Davis-Foster,Maitre Gunshot Residue Negative.m,QualMethod.m,Success
Methanol Blank -ve,2,,Dimethyl Phthalate,1,150,Find by Formula,376752,955.9723,194.0596,,72.23,193.0508,,15.597,15.483,16.525,0.711,1.72,8.87,72.23,low score,Warning,2,194.0579,,,Sample,C10 H10 O4,15207,6,Negative,1,1,1,Cpd 2: Dimethyl Phthalate; C10 H10 O4; 15.597,Methanol_Blank_-ve_191121-0004-r001.d,Instrument 1,P2-A3,Dominic Davis-Foster,Maitre Gunshot Residue Negative.m,QualMethod.m,Success
Propellant 1mg +ve,1,,PETN,1,1386,Find by Formula,1426,121.0509,316.0148,,67.94,334.0493,,13.073,13.057,13.082,4.461,0.91,2.87,67.94,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1842,3,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 13.073,Propellant_1mg_+ve_191121-0002-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive.m,QualMethod.m,Success
Propellant 1mg +ve,2,,Diethyl Phthalate,1,15562,Find by Formula,562442,214.2526,222.0890,,86.12,245.0782,,14.456,14.241,14.945,0.158,-0.18,-0.81,86.12,,Pass,0,222.0892,,,Sample,C12 H14 O4,43614,7,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 14.456,Propellant_1mg_+ve_191121-0002-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive.m,QualMethod.m,Success
Propellant 1mg +ve 5ul,1,,Diethyl Phthalate,1,22955,Find by Formula,549900,214.2527,222.0889,,95.37,245.0780,,14.435,14.262,14.857,0.125,-0.28,-1.25,95.37,,Pass,0,222.0892,,,Sample,C12 H14 O4,55271,7,Positive,1,1,1,Cpd 1: Diethyl Phthalate; C12 H14 O4; 14.435,Propellant_1mg_+ve_5ul_191121-0008-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg drying 14,1,,PETN,1,269,Find by Formula,3018,701.4935,316.0152,,50.94,317.0228,,13.127,13.118,13.185,0.630,1.29,4.08,50.94,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1271,3,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 13.127,Propellant_1mg_drying_14_191121-0015-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg drying 14,2,,Diethyl Phthalate,1,24744,Find by Formula,593418,214.2526,222.0888,,95.06,245.0779,,14.402,14.277,14.799,0.129,-0.37,-1.65,95.06,,Pass,0,222.0892,,,Sample,C12 H14 O4,55807,7,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 14.402,Propellant_1mg_drying_14_191121-0015-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg drying 16,1,,Dimethyl Phthalate,1,2269,Find by Formula,19642,701.4951,194.0575,,99.75,217.0470,,11.040,10.966,11.129,0.165,-0.42,-2.14,99.75,No H adduct,Warning,2,194.0579,,,Sample,C10 H10 O4,3736,4,Positive,1,1,1,Cpd 1: Dimethyl Phthalate; C10 H10 O4; 11.040,Propellant_1mg_drying_16_191121-0017-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg drying 16,2,,Diethyl Phthalate,1,24137,Find by Formula,594968,214.2526,222.0888,,93.92,245.0779,,14.427,14.264,14.849,0.145,-0.39,-1.76,93.92,,Pass,0,222.0892,,,Sample,C12 H14 O4,56864,6,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 14.427,Propellant_1mg_drying_16_191121-0017-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg drying 18,1,,Diphenylamine,1,1295,Find by Formula,35065,121.0509,169.0893,,67.14,187.1250,,10.696,10.473,10.779,4.098,0.20,1.16,67.14,low score,Warning,2,169.0891,,,Sample,C12 H11 N,3815,3,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 10.696,Propellant_1mg_drying_18_191121-0019-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg drying 18,2,,PETN,1,673,Find by Formula,6708,701.4933,316.0144,,71.06,334.0483,,11.715,11.690,11.864,10.548,0.49,1.56,71.06,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1144,3,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 11.715,Propellant_1mg_drying_18_191121-0019-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg drying 18,3,,Dimethyl Phthalate,1,2402,Find by Formula,23248,701.4948,194.0576,,79.98,217.0468,,11.036,10.928,11.117,0.072,-0.33,-1.71,79.98,No H adduct,Warning,2,194.0579,,,Sample,C10 H10 O4,5963,3,Positive,1,1,1,Cpd 3: Dimethyl Phthalate; C10 H10 O4; 11.036,Propellant_1mg_drying_18_191121-0019-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg drying 18,4,,Diethyl Phthalate,1,23000,Find by Formula,714172,214.2525,222.0888,,95.27,245.0779,,14.414,14.240,15.057,0.175,-0.41,-1.85,95.27,,Pass,0,222.0892,,,Sample,C12 H14 O4,54010,6,Positive,1,1,1,Cpd 4: Diethyl Phthalate; C12 H14 O4; 14.414,Propellant_1mg_drying_18_191121-0019-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg gas 200,1,,PETN,1,310,Find by Formula,3031,273.1672,316.0150,,50.67,317.0196,,9.349,9.316,9.357,0.895,1.08,3.43,50.67,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,2232,5,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 9.349,Propellant_1mg_gas_200_191121-0011-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg gas 200,2,,Dimethyl Phthalate,1,613,Find by Formula,13742,299.1615,194.0565,,57.25,217.0448,,7.999,7.817,8.016,0.248,-1.46,-7.50,57.25,low score; No H adduct,Warning,2,194.0579,,,Sample,C10 H10 O4,3394,3,Positive,1,1,1,Cpd 2: Dimethyl Phthalate; C10 H10 O4; 7.999,Propellant_1mg_gas_200_191121-0011-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg gas 200,3,,Diethyl Phthalate,1,47734,Find by Formula,232434,214.2534,222.0889,,98.24,245.0779,,14.408,14.238,14.507,0.229,-0.28,-1.26,98.24,,Pass,0,222.0892,,,Sample,C12 H14 O4,34095,7,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 14.408,Propellant_1mg_gas_200_191121-0011-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg gas 280,1,,PETN,1,581,Find by Formula,5632,288.2895,316.0145,,79.64,334.0484,,13.457,13.416,13.523,0.327,0.63,2.00,79.64,,Pass,0,316.0139,,,Sample,C5 H8 N4 O12,1895,3,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 13.457,Propellant_1mg_gas_280_191121-0013-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg gas 280,2,,Diethyl Phthalate,1,16264,Find by Formula,637911,214.2526,222.0891,,93.65,245.0781,,14.418,14.244,14.964,0.146,-0.12,-0.52,93.65,,Pass,0,222.0892,,,Sample,C12 H14 O4,50916,6,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 14.418,Propellant_1mg_gas_280_191121-0013-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg nebul 40,1,,PETN,1,422,Find by Formula,3622,214.2524,316.0153,,58.72,334.0467,,15.445,15.388,15.462,1.397,1.47,4.66,58.72,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1292,4,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 15.445,Propellant_1mg_nebul_40_191121-0021-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg nebul 40,2,,Dimethyl Phthalate,1,1927,Find by Formula,15683,701.4947,194.0570,,87.49,217.0462,,10.991,10.955,11.129,0.272,-0.92,-4.76,87.49,No H adduct,Warning,2,194.0579,,,Sample,C10 H10 O4,3797,3,Positive,1,1,1,Cpd 2: Dimethyl Phthalate; C10 H10 O4; 10.991,Propellant_1mg_nebul_40_191121-0021-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg nebul 40,3,,Diethyl Phthalate,1,28373,Find by Formula,749706,214.2527,222.0889,,97.34,245.0779,,14.427,14.290,14.930,0.166,-0.26,-1.17,97.34,,Pass,0,222.0892,,,Sample,C12 H14 O4,63206,8,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 14.427,Propellant_1mg_nebul_40_191121-0021-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg nebul 50,1,,PETN,1,694,Find by Formula,2277,242.2837,316.0142,,63.13,317.0191,,16.565,16.556,16.598,0.251,0.33,1.06,63.13,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1670,4,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 16.565,Propellant_1mg_nebul_50_191121-0023-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg nebul 50,2,,Nitroguanidine,1,1353,Find by Formula,10080,121.0509,104.0338,,86.36,105.0411,,12.872,12.814,12.946,0.295,0.42,4.08,86.36,,Pass,0,104.0334,,,Sample,C H4 N4 O2,2150,2,Positive,1,1,1,Cpd 2: Nitroguanidine; C H4 N4 O2; 12.872,Propellant_1mg_nebul_50_191121-0023-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg nebul 50,3,,Diethyl Phthalate,1,26725,Find by Formula,901307,214.2528,222.0887,,94.94,245.0780,,14.420,14.263,15.032,0.165,-0.54,-2.42,94.94,,Pass,0,222.0892,,,Sample,C12 H14 O4,73814,5,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 14.420,Propellant_1mg_nebul_50_191121-0023-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg -ve,1,,Dimethyl Phthalate,1,369,Find by Formula,338103,955.9722,194.0597,,55.58,193.0477,,15.607,15.478,16.368,1.236,1.77,9.11,55.58,low score,Warning,2,194.0579,,,Sample,C10 H10 O4,14125,6,Negative,1,1,1,Cpd 1: Dimethyl Phthalate; C10 H10 O4; 15.607,Propellant_1mg_-ve_191121-0005-r001.d,Instrument 1,P2-A2,Dominic Davis-Foster,Maitre Gunshot Residue Negative.m,QualMethod.m,Success
Propellant 1ug +ve,1,,PETN,1,1031,Find by Formula,16458,331.2086,316.0145,,53.58,334.0491,,11.999,11.941,12.239,3.100,0.66,2.10,53.58,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,2275,4,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 11.999,Propellant_1ug_+ve_191121-0003-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive.m,QualMethod.m,Success
Propellant 1ug +ve,2,,Diethyl Phthalate,1,20314,Find by Formula,410460,214.2526,222.0891,,91.22,245.0780,,14.441,14.268,14.698,0.175,-0.14,-0.64,91.22,,Pass,0,222.0892,,,Sample,C12 H14 O4,36361,6,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 14.441,Propellant_1ug_+ve_191121-0003-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive.m,QualMethod.m,Success
Propellant 1ug +ve 5ul,1,,Diphenylamine,1,11382,Find by Formula,113957,242.2837,169.0905,,58.55,187.1258,,16.830,16.730,16.962,0.117,1.34,7.91,58.55,low score,Warning,2,169.0891,,,Sample,C12 H11 N,16687,5,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 16.830,Propellant_1ug_+ve_5ul_191121-0009-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug +ve 5ul,2,,PETN,1,837,Find by Formula,2626,288.2892,316.0142,,72.38,334.0483,,13.724,13.691,13.741,1.464,0.29,0.93,72.38,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,2074,5,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 13.724,Propellant_1ug_+ve_5ul_191121-0009-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug +ve 5ul,3,,Diethyl Phthalate,1,20979,Find by Formula,456347,214.2527,222.0890,,95.38,245.0780,,14.428,14.271,14.777,0.148,-0.26,-1.15,95.38,,Pass,0,222.0892,,,Sample,C12 H14 O4,41677,6,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 14.428,Propellant_1ug_+ve_5ul_191121-0009-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
